#time,flux,flux_err
138.337057467,1.004156947,0.000267449
138.357492020,1.004961371,0.000267525
138.377926473,1.004563570,0.000267457
138.398360827,1.004058719,0.000267373
138.418795380,1.004142046,0.000267463
138.439229833,1.004935622,0.000267541
138.459664186,1.003840566,0.000267554
138.480098639,1.004152894,0.000267639
138.500533192,1.004349232,0.000267456
138.520967545,1.003782511,0.000267503
138.541401997,1.003812671,0.000267657
138.561836450,1.003999233,0.000267494
138.582270903,1.003954649,0.000267587
138.623139808,1.004111886,0.000267538
138.643574261,1.003774881,0.000267515
138.664008713,1.003838539,0.000267513
138.684443165,1.004374504,0.000267290
138.704877518,1.004380465,0.000267635
138.725312070,1.003647566,0.000267506
138.745746522,1.003720284,0.000267589
138.766180874,1.004204988,0.000267436
138.786615426,1.004380703,0.000267675
138.807049878,1.003850341,0.000267567
138.827484230,1.003709674,0.000267654
138.847918682,1.004083395,0.000267650
138.868353234,1.003476858,0.000267420
138.888787686,1.003492355,0.000267558
138.909222038,1.003813505,0.000267588
138.929656589,1.004226208,0.000267653
138.950091041,1.003978729,0.000267612
138.970525393,1.003666878,0.000267505
138.990959844,1.003760815,0.000267612
139.011394395,1.003863692,0.000267620
139.031828747,1.003613591,0.000267627
139.052263198,1.003659129,0.000267403
139.072697749,1.003686786,0.000267406
139.093132101,1.003182769,0.000267463
139.113566552,1.003932595,0.000267666
139.134001003,1.003580332,0.000267674
139.174869905,1.003633738,0.000267665
139.195304356,1.004002929,0.000267636
139.215738706,1.003910899,0.000267490
139.236173257,1.004136920,0.000267609
139.256607708,1.004246354,0.000267509
139.277042059,1.003554344,0.000267430
139.297476609,1.003882051,0.000267655
139.338345510,1.003518105,0.000267561
139.358779861,1.003438234,0.000267599
139.379214411,1.003475547,0.000267581
139.399648861,1.003684759,0.000267418
139.440517761,1.003753901,0.000267637
139.460952212,1.003729701,0.000267492
139.481386562,1.003280520,0.000267541
139.501821012,1.003725529,0.000267440
139.522255562,1.003043532,0.000267514
139.542689911,1.003335714,0.000267431
139.563124361,1.003734231,0.000267443
139.603993260,1.003872156,0.000267340
139.624427710,1.003656983,0.000267222
139.644862160,1.003551602,0.000267092
139.665296709,1.003561258,0.000267108
139.685731058,1.003785729,0.000267029
139.706165508,1.003674269,0.000267187
139.726599957,1.003447533,0.000267027
139.747034406,1.003417492,0.000267340
139.767468855,1.003333092,0.000267171
139.787903304,1.003460407,0.000266936
139.808337753,1.003360391,0.000266954
139.828772202,1.003170490,0.000267074
139.849206651,1.004153132,0.000267429
139.869641100,1.003577590,0.000267287
139.890075549,1.003543139,0.000267514
139.910509997,1.003167152,0.000267255
139.930944446,1.003330112,0.000267451
139.951378995,1.002852678,0.000267296
139.971813343,1.003308535,0.000267339
139.992247792,1.003057837,0.000267341
140.012682140,1.003461719,0.000267359
140.033116688,1.003189325,0.000267329
140.053551137,1.003139853,0.000267396
140.073985585,1.003288388,0.000267310
140.114854481,1.002849817,0.000267252
140.135288929,1.003263831,0.000267160
140.155723277,1.003198862,0.000267309
140.176157825,1.003365278,0.000267087
140.196592272,1.002929211,0.000267334
140.217026620,1.003046393,0.000267379
140.237461168,1.002895713,0.000267186
140.257895615,1.003112316,0.000267254
140.278329963,1.002879143,0.000267341
140.298764410,1.002692223,0.000267186
140.319198958,1.003270388,0.000267246
140.339633305,1.002770662,0.000267388
140.380502199,1.002907157,0.000267312
140.400936747,1.003368020,0.000267521
140.421371094,1.003426194,0.000267381
140.462240087,1.002843022,0.000266946
140.482674434,1.003079653,0.000267155
140.503108881,1.003018498,0.000267233
140.523543228,1.002876639,0.000267478
140.543977775,1.003253818,0.000267508
140.564412221,1.002446175,0.000267349
140.584846668,1.002582312,0.000267159
140.605281114,1.002688646,0.000267323
140.625715560,1.002983809,0.000267063
140.646150007,1.002239943,0.000266660
140.666584353,1.002937794,0.000267293
140.687018899,1.002970099,0.000267049
140.707453345,1.002651215,0.000267217
140.727887691,1.002523184,0.000267148
140.748322237,1.003204823,0.000267255
140.768756683,1.003027081,0.000267313
140.789191029,1.002367735,0.000267156
140.809625475,1.002701879,0.000267209
140.830060020,1.002456427,0.000266512
140.850494466,1.002496719,0.000267058
140.870928812,1.002784014,0.000267250
140.891363257,1.002567649,0.000267436
140.911797803,1.002592683,0.000267508
140.932232148,1.002534389,0.000267354
140.952666593,1.002551317,0.000267415
140.973101138,1.002894878,0.000267377
141.013969929,1.002491474,0.000267261
141.034404374,1.002426267,0.000267166
141.054838819,1.003060818,0.000267237
141.075273263,1.002244353,0.000267450
141.095707708,1.002562761,0.000267245
141.116142153,1.002357960,0.000267476
141.136576598,1.002388477,0.000267290
141.157011042,1.002464175,0.000267387
141.177445387,1.002713919,0.000267501
141.197879931,1.002481222,0.000267328
141.218314376,1.002716064,0.000267170
141.238748720,1.002113104,0.000266858
141.259183264,1.002591372,0.000267201
141.279617708,1.002473712,0.000267265
141.300052052,1.002573013,0.000267349
141.320486496,1.002526283,0.000267211
141.340921040,1.002287149,0.000267426
141.361355484,1.002452731,0.000267365
141.381789828,1.002053022,0.000267121
141.402224272,1.002557516,0.000267193
141.422658815,1.002609730,0.000267036
141.443093259,1.002271056,0.000267099
141.463527603,1.002654791,0.000266950
141.483962146,1.002264380,0.000267258
141.504396589,1.001988530,0.000267293
141.524830933,1.002001882,0.000267497
141.565699819,1.001909018,0.000267235
141.586134362,1.001989365,0.000267391
141.606568705,1.002655029,0.000267316
141.627003248,1.002418280,0.000267423
141.647437691,1.002141118,0.000267427
141.667872034,1.002392530,0.000267234
141.688306477,1.001958847,0.000267232
141.708741019,1.001979113,0.000267249
141.729175362,1.002084494,0.000267243
141.749609804,1.002185225,0.000267485
141.770044347,1.002271056,0.000267410
141.790478689,1.002047896,0.000267446
141.810913131,1.003057241,0.000267473
141.831347574,1.002412438,0.000267354
141.851782016,1.002972722,0.000267441
141.872216458,1.002454519,0.000267341
141.892650900,1.002064228,0.000267100
141.913085442,1.002092838,0.000267225
141.933519784,1.002496362,0.000267185
141.953954226,1.002014399,0.000267056
141.974388567,1.001970530,0.000267158
141.994823109,1.002140284,0.000267089
142.015257550,1.002329588,0.000267085
142.035691892,1.002429724,0.000267097
142.056126333,1.002498984,0.000267144
142.076560875,1.002262712,0.000267055
142.096995316,1.002551794,0.000267101
142.117429657,1.002355099,0.000267147
142.137864198,1.002053022,0.000266971
142.158298639,1.001915693,0.000266901
142.178732980,1.002307534,0.000267074
142.199167421,1.002049804,0.000267021
142.219601962,1.001945972,0.000266926
142.240036303,1.002523661,0.000267158
142.260470744,1.002226233,0.000267071
142.280905284,1.002113342,0.000266971
142.301339625,1.002212644,0.000266992
142.321774065,1.002235651,0.000267154
142.362643046,1.002256036,0.000267138
142.383077386,1.002179861,0.000267045
142.403511826,1.001758695,0.000267110
142.423946366,1.002450228,0.000267086
142.444380706,1.002091646,0.000267184
142.485249486,1.002408981,0.000267152
142.505684026,1.002469301,0.000267039
142.526118465,1.001819730,0.000267314
142.546552905,1.001864195,0.000267096
142.566987245,1.001972318,0.000267117
142.587421784,1.001976013,0.000267173
142.607856223,1.002397299,0.000267056
142.628290563,1.002040267,0.000267240
142.648725102,1.002199054,0.000267276
142.669159541,1.002200723,0.000267209
142.689593880,1.002044201,0.000267254
142.710028319,1.002313972,0.000267135
142.730462858,1.002102375,0.000267151
142.750897197,1.001581550,0.000267257
142.771331636,1.002126098,0.000267200
142.791766174,1.002043247,0.000267004
142.812200513,1.002504587,0.000267314
142.832634951,1.002115846,0.000267153
142.853069390,1.001866341,0.000267165
142.873503928,1.002335310,0.000267323
142.893938267,1.002010226,0.000267189
142.914372705,1.001774073,0.000267103
142.934807243,1.002069473,0.000267288
142.955241581,1.002158403,0.000267155
142.975676019,1.002370834,0.000267269
142.996110357,1.002243161,0.000266985
143.016544895,1.002276063,0.000266848
143.036979333,1.002703905,0.000267242
143.057413770,1.003203273,0.000267025
143.077848208,1.002535939,0.000266973
143.098282645,1.002506018,0.000266910
143.118717083,1.002986312,0.000266965
143.139151520,1.002523661,0.000266972
143.159585957,1.002619386,0.000266767
143.180020395,1.001993179,0.000267107
143.200454732,1.002387881,0.000267117
143.220889169,1.002446055,0.000266996
143.241323706,1.002045035,0.000267156
143.261758143,1.002402425,0.000267212
143.282192579,1.002473831,0.000267184
143.302627016,1.002350330,0.000267230
143.323061453,1.002449989,0.000267161
143.363930226,1.001836777,0.000267244
143.384364762,1.002190351,0.000267256
143.404799199,1.002262115,0.000267246
143.445668071,1.002862334,0.000267406
143.466102507,1.002102017,0.000267331
143.486536843,1.002165437,0.000267355
143.506971279,1.002547503,0.000267293
143.527405815,1.002559423,0.000267343
143.547840251,1.003201008,0.000267384
143.568274586,1.002398849,0.000267343
143.588709122,1.001892090,0.000267233
143.609143558,1.002413988,0.000267331
143.629577893,1.002245426,0.000267342
143.650012328,1.002510309,0.000267363
143.670446864,1.002681375,0.000267289
143.690881199,1.002076864,0.000267335
143.711315634,1.002173662,0.000267268
143.731750069,1.002126575,0.000267351
143.752184504,1.002718449,0.000267330
143.772618939,1.002619147,0.000267408
143.793053374,1.001646519,0.000267327
143.813487808,1.002717137,0.000267430
143.833922243,1.001750946,0.000267217
143.854356677,1.002251267,0.000267313
143.874791012,1.002212882,0.000267337
143.915659981,1.002194524,0.000267345
143.936094315,1.001761079,0.000267348
143.956528849,1.002213478,0.000267258
143.976963283,1.002357125,0.000267270
143.997397617,1.001867652,0.000267353
144.017832051,1.002326846,0.000267330
144.038266585,1.001947761,0.000267255
144.058701018,1.001965523,0.000267240
144.079135352,1.002284408,0.000267420
144.099569886,1.002381563,0.000267371
144.120004319,1.002046466,0.000267216
144.140438652,1.001882553,0.000267121
144.160873086,1.002248406,0.000267353
144.181307619,1.002383828,0.000267319
144.201741952,1.001996517,0.000267254
144.222176385,1.002371907,0.000267366
144.242610918,1.002270103,0.000267313
144.263045251,1.001682043,0.000267273
144.283479684,1.002359509,0.000267342
144.303914117,1.002416492,0.000267346
144.324348549,1.002134085,0.000267251
144.365217414,1.002159595,0.000267365
144.385651746,1.002123833,0.000267262
144.406086279,1.002240419,0.000267171
144.446955043,1.002459049,0.000267260
144.467389575,1.002192616,0.000267226
144.487824007,1.001795888,0.000267368
144.508258339,1.001974702,0.000267368
144.528692771,1.001968145,0.000267327
144.549127303,1.002257586,0.000267277
144.569561734,1.001994252,0.000267185
144.589996066,1.002042890,0.000267057
144.610430597,1.002062440,0.000267343
144.630865029,1.001855135,0.000267190
144.651299360,1.001457095,0.000267110
144.671733791,1.002074361,0.000267389
144.692168322,1.001789451,0.000267340
144.712602653,1.002507091,0.000267323
144.733037084,1.001824260,0.000267194
144.753471615,1.001605153,0.000267039
144.773905946,1.001912594,0.000267204
144.794340376,1.001884937,0.000267076
144.814774807,1.002100825,0.000267009
144.855643668,1.001972318,0.000267166
144.876078098,1.001736283,0.000267067
144.896512528,1.001357555,0.000267315
144.916946959,1.001955867,0.000267205
144.937381389,1.001940966,0.000267084
144.957815818,1.001588821,0.000267058
144.978250348,1.001538277,0.000266870
144.998684678,1.001260996,0.000267014
